tpo	abs	sal
3.7668	0.0000	1.7305
3.7783	0.0000	1.7417
3.7899	0.0000	1.7527
3.8014	0.0000	1.7624
3.8130	0.0000	1.7709
3.8245	0.0000	1.7800
3.8361	0.0000	1.7893
3.8476	0.0000	1.7984
3.8592	0.0000	1.8087
3.8707	0.0000	1.8206
3.8823	0.0000	1.8314
3.8939	0.0000	1.8421
3.9054	0.0000	1.8538
3.9170	0.0000	1.8634
3.9285	0.0000	1.8712
3.9401	0.0000	1.8798
3.9516	0.0000	1.8880
3.9632	0.0000	1.8942
3.9747	0.0000	1.9013
3.9863	0.0000	1.9097
3.9978	0.0000	1.9157
4.0094	0.0000	1.9214
4.0210	0.0000	1.9291
4.0325	0.0000	1.9346
4.0441	0.0000	1.9383
4.0556	0.0000	1.9436
4.0672	0.0000	1.9474
4.0787	0.0000	1.9495
4.0903	0.0000	1.9525
4.1018	0.0000	1.9563
4.1134	0.0000	1.9589
4.1249	0.0000	1.9621
4.1365	0.0000	1.9667
4.1481	0.0000	1.9700
4.1596	0.0000	1.9726
4.1712	0.0000	1.9769
4.1827	0.0000	1.9811
4.1943	0.0000	1.9837
4.2058	0.0000	1.9872
4.2174	0.0000	1.9912
4.2289	0.0000	1.9920
4.2405	0.0000	1.9942
4.2520	0.0000	1.9978
4.2636	0.0000	2.0000
4.2752	0.0000	2.0000
4.2867	0.0000	2.0000
4.2983	0.0000	2.0000
4.3098	0.0000	2.0000
4.3214	0.0000	2.0000
4.3329	0.0000	2.0000
4.3445	0.0000	2.0000
4.3560	0.0000	2.0000
4.3676	0.0000	2.0000
4.3791	0.0000	2.0000
4.3907	0.0000	2.0000
4.4022	0.0000	2.0000
4.4138	0.0000	2.0000
4.4254	0.0000	2.0000
4.4369	0.0000	2.0000
4.4485	0.0000	2.0000
4.4600	0.0000	2.0000
