%tpo	abs	sal
%min	mAU	M
4.3907	0.0000	2.0000
4.4022	0.0000	2.0000
4.4138	0.0000	2.0000
4.4254	0.0000	2.0000
4.4369	0.0000	2.0000
4.4485	0.0000	2.0000
4.4600	0.0000	2.0000
4.4716	0.0000	2.0000
4.4831	0.0000	2.0000
4.4947	0.0000	2.0000
4.5062	0.0000	2.0000
4.5178	0.0000	2.0000
4.5293	0.0000	2.0000
4.5409	0.0000	2.0000
4.5525	0.0000	2.0000
4.5640	0.0000	2.0000
4.5756	0.0000	2.0000
4.5871	0.0000	2.0000
4.5987	0.0000	2.0000
4.6102	0.0000	2.0000
4.6218	0.0000	2.0000
4.6333	0.0000	2.0000
4.6449	0.0000	2.0000
4.6564	0.0000	2.0000
4.6680	0.0000	2.0000
4.6796	0.0000	2.0000
4.6911	0.0000	2.0000
4.7027	0.0000	2.0000
4.7142	0.0000	2.0000
4.7258	0.0000	2.0000
4.7373	0.0000	2.0000
4.7489	0.0000	2.0000
4.7604	0.0000	2.0000
4.7720	0.0000	2.0000
4.7835	0.0000	2.0000
4.7951	0.0000	2.0000
4.8067	0.0000	2.0000
4.8182	0.0000	2.0000
4.8298	0.0000	2.0000
4.8413	0.0000	2.0000
4.8529	0.0000	2.0000
4.8644	0.0000	2.0000
4.8760	0.0000	2.0000
4.8875	0.0000	2.0000
4.8991	0.0000	2.0000
4.9106	0.0000	2.0000
4.9222	0.0000	2.0000
4.9338	0.0000	2.0000
4.9453	0.0000	2.0000
4.9569	0.0000	2.0000
4.9684	0.0000	2.0000
4.9800	0.0000	2.0000
4.9915	0.0000	2.0000
5.0031	0.0000	2.0000
5.0146	0.0000	2.0000
5.0262	0.0000	2.0000
5.0377	0.0000	2.0000
5.0493	0.0000	2.0000
5.0609	0.0000	2.0000
5.0724	0.0000	2.0000
5.0840	0.0000	2.0000
5.0955	0.0000	2.0000
5.1071	0.0000	2.0000
5.1186	0.0000	2.0000
5.1302	0.0000	2.0000
5.1417	0.0000	2.0000
5.1533	0.0000	2.0000
5.1648	0.0000	2.0000
5.1764	0.0000	2.0000
5.1880	0.0000	2.0000
5.1995	0.0000	2.0000
5.2111	0.0000	2.0000
5.2226	0.0000	2.0000
5.2342	0.0000	2.0000
5.2457	0.0000	2.0000
5.2573	0.0000	2.0000
5.2688	0.0000	2.0000
5.2804	0.0000	2.0000
5.2919	0.0000	2.0000
5.3035	0.0000	2.0000
5.3151	0.0000	2.0000
5.3266	0.0000	2.0000
5.3382	0.0000	2.0000
5.3497	0.0000	2.0000
5.3613	0.0000	2.0000
5.3728	0.0000	2.0000
5.3844	0.0000	2.0000
5.3959	0.0000	2.0000
5.4075	0.0000	2.0000
5.4190	0.0000	2.0000
5.4306	0.0000	2.0000
5.4422	0.0000	2.0000
5.4537	0.0000	2.0000
5.4653	0.0000	2.0000
5.4768	0.0000	2.0000
5.4884	0.0000	2.0000
5.4999	0.0000	2.0000
5.5115	0.0000	2.0000
5.5230	0.0000	2.0000
5.5346	0.0000	2.0000
5.5461	0.0000	2.0000
5.5577	0.0000	2.0000
5.5692	0.0000	2.0000
5.5808	0.0000	2.0000
5.5924	0.0000	2.0000
5.6039	0.0000	2.0000
5.6155	0.0000	2.0000
5.6270	0.0000	2.0000
5.6386	0.0000	2.0000
5.6501	0.0000	2.0000
5.6617	0.0000	2.0000
5.6732	0.0000	2.0000
5.6848	0.0000	2.0000
5.6963	0.0000	2.0000
5.7079	0.0000	2.0000
5.7195	0.0000	2.0000
5.7310	0.0000	2.0000
5.7426	0.0000	2.0000
5.7541	0.0000	2.0000
5.7657	0.0000	2.0000
5.7772	0.0000	2.0000
5.7888	0.0000	2.0000
5.8003	0.0000	2.0000
5.8119	0.0000	2.0000
5.8234	0.0000	2.0000
5.8350	0.0000	2.0000
5.8466	0.0000	2.0000
5.8581	0.0000	2.0000
5.8697	0.0000	2.0000
5.8812	0.0000	2.0000
5.8928	0.0000	2.0000
5.9043	0.0000	2.0000
5.9159	0.0000	2.0000
5.9274	0.0000	2.0000
5.9390	0.0000	2.0000
5.9505	0.0000	2.0000
5.9621	0.0000	2.0000
5.9737	0.0000	2.0000
5.9852	0.0000	2.0000
5.9968	0.0000	2.0000
6.0083	0.0000	2.0000
