tpo	abs	sal
3.8257	2.9593	1.7680
3.8338	2.8645	1.7738
3.8419	2.8003	1.7828
3.8500	2.7692	1.7889
3.8582	2.7623	1.7975
3.8663	2.7573	1.8034
3.8744	2.7645	1.8108
3.8825	2.7370	1.8166
3.8907	2.6705	1.8231
3.8988	2.5798	1.8281
3.9069	2.4960	1.8332
3.9150	2.4021	1.8375
3.9231	2.3257	1.8422
3.9313	2.2197	1.8463
3.9394	2.1431	1.8508
3.9475	2.0686	1.8552
3.9556	2.0054	1.8600
3.9638	0.0000	1.8649
3.9719	0.0000	1.8699
3.9800	0.0000	1.8751
3.9881	0.0000	1.8800
3.9963	0.0000	1.8848
4.0044	0.0000	1.8889
4.0125	0.0000	1.8926
4.0206	0.0000	1.8958
4.0287	0.0000	1.8985
4.0369	0.0000	1.9010
4.0450	0.0000	1.9033
4.0531	0.0000	1.9056
4.0612	0.0000	1.9079
4.0694	0.0000	1.9103
4.0775	0.0000	1.9126
4.0856	0.0000	1.9151
4.0937	0.0000	1.9173
4.1018	0.0000	1.9198
4.1100	0.0000	1.9219
4.1181	0.0000	1.9243
4.1262	0.0000	1.9263
4.1343	0.0000	1.9287
4.1425	0.0000	1.9304
4.1506	0.0000	1.9327
4.1587	0.0000	1.9343
4.1668	0.0000	1.9366
4.1749	0.0000	1.9380
4.1831	0.0000	1.9402
4.1912	0.0000	1.9413
4.1993	0.0000	1.9434
4.2074	0.0000	1.9444
4.2156	0.0000	1.9462
4.2237	0.0000	1.9469
4.2318	0.0000	1.9488
4.2399	0.0000	1.9495
4.2480	0.0000	1.9513
4.2562	0.0000	1.9519
4.2643	0.0000	1.9535
4.2724	0.0000	1.9541
4.2805	0.0000	1.9553
4.2887	0.0000	1.9557
4.2968	0.0000	1.9567
4.3049	0.0000	1.9572
4.3130	0.0000	1.9582
4.3211	0.0000	1.9587
4.3293	0.0000	1.9597
4.3374	0.0000	1.9602
4.3455	0.0000	1.9612
4.3536	0.0000	1.9616
4.3618	0.0000	1.9625
4.3699	0.0000	1.9629
4.3780	0.0000	1.9637
4.3861	0.0000	1.9641
4.3943	0.0000	1.9647
4.4024	0.0000	1.9651
4.4105	0.0000	1.9656
4.4186	0.0000	1.9659
4.4267	0.0000	1.9664
4.4349	0.0000	1.9668
4.4430	0.0000	1.9674
4.4511	0.0000	1.9679
4.4592	0.0000	1.9685
4.4674	0.0000	1.9691
4.4755	0.0000	1.9694
4.4836	0.0000	1.9699
4.4917	0.0000	1.9707
4.4998	0.0000	1.9713
4.5080	0.0000	1.9716
4.5161	0.0000	1.9722
4.5242	0.0000	1.9726
4.5323	0.0000	1.9728
4.5405	0.0000	1.9730
4.5486	0.0000	1.9734
4.5567	0.0000	1.9735
4.5648	0.0000	1.9737
4.5729	0.0000	1.9740
4.5811	0.0000	1.9744
4.5892	0.0000	1.9746
4.5973	0.0000	1.9751
4.6054	0.0000	1.9752
4.6136	0.0000	1.9759
4.6217	0.0000	1.9762
4.6298	0.0000	1.9770
4.6379	0.0000	1.9771
4.6460	0.0000	1.9779
4.6542	0.0000	1.9781
4.6623	0.0000	1.9787
4.6704	0.0000	1.9788
4.6785	0.0000	1.9793
4.6867	0.0000	1.9794
4.6948	0.0000	1.9800
4.7029	0.0000	1.9801
4.7110	0.0000	1.9807
4.7191	0.0000	1.9808
4.7273	0.0000	1.9812
4.7354	0.0000	1.9813
4.7435	0.0000	1.9817
4.7516	0.0000	1.9818
4.7598	0.0000	1.9822
4.7679	0.0000	1.9823
4.7760	0.0000	1.9825
4.7841	0.0000	1.9827
4.7923	0.0000	1.9829
4.8004	0.0000	1.9831
4.8085	0.0000	1.9836
4.8166	0.0000	1.9839
4.8247	0.0000	1.9844
4.8329	0.0000	1.9847
4.8410	0.0000	1.9850
4.8491	0.0000	1.9852
4.8572	0.0000	1.9855
4.8654	0.0000	1.9857
4.8735	0.0000	1.9859
4.8816	0.0000	1.9862
4.8897	0.0000	1.9865
4.8978	0.0000	1.9867
4.9060	0.0000	1.9869
4.9141	0.0000	1.9870
4.9222	0.0000	1.9870
4.9303	0.0000	1.9870
4.9385	0.0000	1.9869
4.9466	0.0000	1.9867
4.9547	0.0000	1.9867
4.9628	0.0000	1.9867
4.9709	0.0000	1.9868
4.9791	0.0000	1.9870
4.9872	0.0000	1.9873
4.9953	0.0000	1.9876
5.0034	0.0000	1.9878
5.0116	0.0000	1.9880
5.0197	0.0000	1.9881
5.0278	0.0000	1.9882
5.0359	0.0000	1.9883
5.0440	0.0000	1.9883
5.0522	0.0000	1.9883
5.0603	0.0000	1.9882
5.0684	0.0000	1.9882
5.0765	0.0000	1.9882
5.0847	0.0000	1.9883
5.0928	0.0000	1.9884
5.1009	0.0000	1.9886
5.1090	0.0000	1.9889
5.1171	0.0000	1.9892
5.1253	0.0000	1.9894
5.1334	0.0000	1.9896
5.1415	0.0000	1.9897
5.1496	0.0000	1.9897
5.1578	0.0000	1.9897
5.1659	0.0000	1.9897
5.1740	0.0000	1.9897
5.1821	0.0000	1.9898
5.1903	0.0000	1.9899
5.1984	0.0000	1.9900
5.2065	0.0000	1.9902
5.2146	0.0000	1.9904
5.2227	0.0000	1.9906
5.2309	0.0000	1.9910
5.2390	0.0000	1.9912
5.2471	0.0000	1.9915
5.2552	0.0000	1.9917
5.2634	0.0000	1.9919
5.2715	0.0000	1.9920
5.2796	0.0000	1.9922
5.2877	0.0000	1.9923
5.2958	0.0000	1.9926
5.3040	0.0000	1.9928
5.3121	0.0000	1.9931
5.3202	0.0000	1.9933
5.3283	0.0000	1.9936
5.3365	0.0000	1.9937
5.3446	0.0000	1.9938
5.3527	0.0000	1.9938
5.3608	0.0000	1.9939
5.3689	0.0000	1.9940
5.3771	0.0000	1.9943
5.3852	0.0000	1.9945
5.3933	0.0000	1.9948
5.4014	0.0000	1.9952
5.4096	0.0000	1.9956
5.4177	0.0000	1.9959
5.4258	0.0000	1.9962
5.4339	0.0000	1.9966
5.4420	0.0000	1.9969
5.4502	0.0000	1.9971
5.4583	0.0000	1.9973
5.4664	0.0000	1.9976
5.4745	0.0000	1.9977
