tpo	abs	sal
2.7210	0.0000	0.3247
2.7291	0.0000	0.3327
2.7373	0.0000	0.3512
2.7454	0.0000	0.3613
2.7535	0.0000	0.3823
2.7616	0.0000	0.3938
2.7698	0.0000	0.4147
2.7779	0.0000	0.4287
2.7860	0.0000	0.4499
2.7941	0.0000	0.4642
2.8022	0.0000	0.4830
2.8104	0.0000	0.4977
2.8185	0.0000	0.5161
2.8266	0.0000	0.5306
2.8347	0.0000	0.5471
2.8429	0.0000	0.5617
2.8510	0.0000	0.5772
2.8591	0.0000	0.5909
2.8672	0.0000	0.6044
2.8754	0.0000	0.6170
2.8835	0.0000	0.6295
2.8916	0.8961	0.6414
2.8997	2.1556	0.6531
2.9078	3.6432	0.6650
2.9160	5.7162	0.6768
2.9241	7.9203	0.6889
2.9322	11.0978	0.7006
2.9403	14.7620	0.7124
2.9485	20.2581	0.7238
2.9566	25.5473	0.7352
2.9647	33.1098	0.7466
2.9728	41.1584	0.7577
2.9809	53.3219	0.7687
2.9891	64.9125	0.7791
2.9972	80.8812	0.7900
3.0053	96.4746	0.7997
3.0134	120.2571	0.8102
3.0216	142.0393	0.8194
3.0297	173.2334	0.8302
3.0378	200.0820	0.8390
3.0459	235.3714	0.8495
3.0540	269.9313	0.8575
3.0622	317.3459	0.8685
3.0703	355.4989	0.8763
3.0784	410.5729	0.8872
3.0865	460.7481	0.8947
3.0947	530.4433	0.9071
3.1028	587.4069	0.9150
3.1109	661.1966	0.9282
3.1190	724.0660	0.9352
3.1271	797.9053	0.9499
3.1353	855.0906	0.9568
3.1434	920.1837	0.9713
3.1515	963.3618	0.9770
3.1596	1014.4547	0.9933
3.1678	1050.6726	0.9991
3.1759	1087.6511	1.0158
3.1840	1110.1850	1.0199
3.1921	1133.3782	1.0379
3.2002	1146.0395	1.0427
3.2084	1152.7261	1.0596
3.2165	1147.9546	1.0634
3.2246	1135.9705	1.0811
3.2327	1116.3928	1.0861
3.2409	1087.0379	1.1029
3.2490	1056.4520	1.1069
3.2571	1022.4044	1.1251
3.2652	990.6976	1.1308
3.2734	949.7583	1.1481
3.2815	915.0893	1.1526
3.2896	878.1954	1.1698
3.2977	848.8636	1.1751
3.3058	816.3710	1.1834
3.3140	791.4425	1.1938
3.3221	765.2792	1.2130
3.3302	746.7658	1.2200
3.3383	727.7768	1.2348
3.3465	712.6382	1.2493
3.3546	696.0107	1.2611
3.3627	682.0358	1.2654
3.3708	668.0696	1.2789
3.3789	654.8746	1.2875
3.3871	640.0544	1.3019
3.3952	625.6109	1.3110
3.4033	611.6759	1.3232
3.4114	596.6357	1.3332
3.4196	579.4796	1.3465
3.4277	557.3474	1.3572
3.4358	534.0988	1.3689
3.4439	505.8411	1.3807
3.4520	476.2556	1.3934
3.4602	437.7674	1.4060
3.4683	400.0663	1.4166
3.4764	358.7839	1.4292
3.4845	323.3881	1.4399
3.4927	287.8532	1.4522
3.5008	254.9178	1.4614
3.5089	224.1030	1.4740
3.5170	201.5272	1.4845
3.5251	180.5641	1.4988
3.5333	163.3876	1.5085
3.5414	147.5727	1.5232
3.5495	136.3707	1.5335
3.5576	125.7691	1.5478
3.5658	117.0604	1.5564
3.5739	108.0421	1.5694
3.5820	100.9930	1.5782
3.5901	93.4103	1.5910
3.5982	87.7157	1.5991
3.6064	80.8001	1.6123
3.6145	75.2598	1.6214
3.6226	69.2447	1.6355
3.6307	65.2135	1.6441
3.6389	60.5814	1.6571
3.6470	56.9602	1.6660
3.6551	52.9614	1.6778
3.6632	50.2507	1.6854
3.6714	47.3629	1.6935
3.6795	44.9893	1.6993
3.6876	42.0370	1.7036
3.6957	39.7702	1.7068
3.7038	37.3142	1.7104
3.7120	35.4559	1.7133
3.7201	33.1083	1.7196
3.7282	31.4501	1.7251
3.7363	29.6565	1.7340
3.7445	28.3899	1.7424
3.7526	26.9110	1.7516
3.7607	25.7767	1.7609
3.7688	24.4630	1.7691
3.7769	23.5132	1.7778
3.7851	22.3746	1.7851
3.7932	21.4945	1.7933
3.8013	20.4498	1.8002
3.8094	19.6276	1.8083
3.8176	18.7291	1.8147
3.8257	18.0027	1.8227
3.8338	17.0943	1.8292
3.8419	16.3517	1.8371
3.8500	15.5797	1.8435
3.8582	14.9741	1.8521
3.8663	14.2709	1.8591
3.8744	13.7049	1.8680
3.8825	13.1436	1.8749
3.8907	12.7272	1.8840
3.8988	12.2829	1.8911
3.9069	11.9181	1.8994
3.9150	11.5349	1.9055
3.9231	11.1882	1.9127
3.9313	10.8249	1.9185
3.9394	10.4722	1.9246
3.9475	10.1044	1.9295
3.9556	9.7327	1.9352
3.9638	1.2934	1.9403
3.9719	1.0033	1.9454
3.9800	0.7093	1.9499
3.9881	0.4080	1.9545
3.9963	0.1577	1.9594
4.0044	0.0000	1.9637
4.0125	0.0000	1.9682
4.0206	0.0000	1.9716
4.0287	0.0000	1.9759
4.0369	0.0000	1.9786
4.0450	0.0000	1.9821
4.0531	0.0000	1.9845
4.0612	0.0000	1.9885
4.0694	0.0000	1.9908
4.0775	0.0000	1.9945
4.0856	0.0000	1.9964
4.0937	0.0000	2.0000
4.1018	0.0000	2.0000
4.1100	0.0000	2.0000
4.1181	0.0000	2.0000
4.1262	0.0000	2.0000
4.1343	0.0000	2.0000
4.1425	0.0000	2.0000
4.1506	0.0000	2.0000
4.1587	0.0000	2.0000
4.1668	0.0000	2.0000
4.1749	0.0000	2.0000
4.1831	0.0000	2.0000
4.1912	0.0000	2.0000
4.1993	0.0000	2.0000
4.2074	0.0000	2.0000
4.2156	0.0000	2.0000
4.2237	0.0000	2.0000
4.2318	0.0000	2.0000
4.2399	0.0000	2.0000
4.2480	0.0000	2.0000
4.2562	0.0000	2.0000
4.2643	0.0000	2.0000
4.2724	0.0000	2.0000
4.2805	0.0000	2.0000
4.2887	0.0000	2.0000
4.2968	0.0000	2.0000
4.3049	0.0000	2.0000
4.3130	0.0000	2.0000
4.3211	0.0000	2.0000
4.3293	0.0000	2.0000
4.3374	0.0000	2.0000
4.3455	0.0000	2.0000
4.3536	0.0000	2.0000
4.3618	0.0000	2.0000
4.3699	0.0000	2.0000
4.3780	0.0000	2.0000
4.3861	0.0000	2.0000
4.3943	0.0000	2.0000
4.4024	0.0000	2.0000
4.4105	0.0000	2.0000
4.4186	0.0000	2.0000
4.4267	0.0000	2.0000
4.4349	0.0000	2.0000
4.4430	0.0000	2.0000
4.4511	0.0000	2.0000
4.4592	0.0000	2.0000
4.4674	0.0000	2.0000
4.4755	0.0000	2.0000
4.4836	0.0000	2.0000
4.4917	0.0000	2.0000
4.4998	0.0000	2.0000
4.5080	0.0000	2.0000
4.5161	0.0000	2.0000
